Center Name,Website,City,Email,Phone,Details
Centro de Recuperación Fauna Silvestre de Zamora,,,,980510361 / 980526991,"Mariano Rodríguez Alonso | Villaralbo, 4159Zamora | Tel. 980510361/Fax: 980526991 | Extremadura | La Dirección General de Medio Ambiente de la JUNTA DE EXTREMADURA dispone de un centro de recuperación de la fauna en Sierra de Fuentes muy cerca de la ciudad deCáceres:"
"Centro de Recuperación de Fauna Silvestre y Educación Ambiental ""Los Hornos""",,,crhornos@aym.juntaex.es,900351858 / 927200170 / 927200218 / 927 200170 / 900 351858,"Javier Caldera | Dirección: Oficinas y Centro: Crta. del Risco s/n, Apdo. 7. 101181Sierra de las Fuentes. Cáceres | Tel. 900351858 / 927200170 / 927200218 | crhornos@aym.juntaex.es | ""LOS HORNOS"" | Informacion en el tel. 927 200170 | Recogida de animales salvajes heridos: 900 351858 (gratuito)"
Centro de Cría de Aguilucho Cenizo de AMUS,,,amus100@hotmail.com,924 520 428,Persona de contacto: Álvaro Guerrero | Dirección: AMUS (Acción por el Mundo Salvaje) | Pza. del Pilar s/n Apdo. 6.06220Villafranca de los Barros. Badajoz | Tel: 924 520 428 | amus100@hotmail.com
Centro de Cría de Cernícalo Primilla de DEMA,,,demagrupo@wanadoo.es,924 671 752 / 678 244 414 / 647 292 776,"Persona de contacto: Pepe Antolín | Encargada: Cristina Giner | Apartado de Correos 268. C. P.06200,Almendralejo. Badajoz | Tel. 924 671 752 / 678 244 414 / 647 292 776 | demagrupo@wanadoo.es | La Rioja"
"Centro de recuperación de fauna silvestre ""La Fombera""",,Zaragoza,centro.faunasilvestre@larioja.org,941260405 / 699 98 22 77,"Teléfono (24 horas) SOS-Rioja 112 | Persona de contacto: Ignacio Gámez Carmona | Horario de atención en el centro: laborables de 7:30-14:30h. | Ctra. de Zaragoza km. 1,3. 26006Varea. Logroño | T. 941260405 / 699 98 22 77 | centro.faunasilvestre@larioja.org | Andalucía"
Coordinación de la Red Nacional de CREAs,,,imolina@egmasa.es,670 945 937 / 955 044766,Director: Antonio Franco Ruiz (Servicios Centrales de la Consejería de Medio Ambiente. Junta de Andalucía). Avenida Manuel Siurot nº 50. Edificio Sundhein. 41013Sevilla | Coordinación Técnica: Isabel Molina Prescott (Servicios Centrales de egmasa-Consejería de Medio Ambiente). | C/Johan G. Gutenberg s/n.Isla de la Cartuja. 41092.Sevilla | Telef: 670 945 937 // 955 044766 | imolina@egmasa.es
CREA LAS ALMOHALLAS. ALMERIA,,Almería,,950 011 150,"Director Adjunto: Juan Carlos Nevado | Delegación Provincial de Medio Ambiente de Almería | Tel.: 950 011 150 | Encargado del CREA: Juan José Alesina Ruiz | Zona recreativa Las Almohallas. Antigua Casa Forestal ""Las Almohallas"" | Vélez-Blanco.Almería | Tel. 670.944.592"
CREA DUNAS DE SAN ANTÓN. CÁDIZ,,Cádiz,,956 008 711,"Directora Adjunta: María Soledad Páez | Delegación Provincial de Medio Ambiente de Cádiz | Tel. 956 008 711 | Encargado del CREA: Antonio Guillen Barea | Camino de los enamorados s/n. Casa Forestal ""Dunas de San Antón"".El Puerto de Santa María (Cádiz) | Tel. 670.946.198"
CREA LOS VILLARES. CÓRDOBA,,Córdoba,,957 001 300,"Director Adjunto: Rafael Arenas | Delegación Provincial de Medio Ambiente de Córdoba | Tel.: 957 001 300 | Encargado del CREA: Miguel Carrasco Cassaut | Carretera de Obejo-Córdoba, a 12 Km. de la capital | Tel.: 670.947.901"
CREA EL BLANQUEO. GRANADA,,Granada,,958 026 000,"Director Adjunto: Manuel Chirosa | Delegación Provincial de Medio Ambiente de Granada | Tel.: 958 026 000 | Encargada de centro: Jorgina Acevedo Puga | Antigua carretera de Sierra Nevada, Km. 7,entre las localidades de Cenes de la Vega y Pinos Genil. | Tel.: 670.945.699"
CREA QUIEBRAJANO. JAÉN,,,,953 012 400,"Directora Adjunta: Paloma Prieto | Delegación Provincial de Medio Ambiente de Jaén | Tel.: 953 012 400 | Encargado del CREA: Francisco García Bueno | Carretera del pantano del Quiebrajano s/n | Se localiza en el Monte La Sierra, a 25 Km., de Jaén capital. | Tel.: 670.946.263"
CREA PECHO VENUS. MÁLAGA,,Málaga,,,Directora Adjunta: Julia Salazar | Delegación Provincial de Medio Ambiente de Málaga | Encargada del CREA: Ana Naranjo Anaya | Antigua Casa Forestal Pecho Venus.Sierra de Tolox. | Tel. 670.94.45.98
CREA SAN JERÓNIMO. SEVILLA,,Sevilla,,954 004 400,"Director Adjunto: Fernando Ostos | Delegación Provincial de Medio Ambiente de Sevilla | Tel.: 954 004 400 | Encargado del CREA: Javier Bejarano Segura | Carretera C-433Sevilla- La Rinconada Km. 1,5. | Tel.: 670.941.592"
CREMA (Centro de Recuperación de Especies Marinas Amezadas) de Málaga,,Málaga,,952 229 287 / 689 772 335,"Directora Adjunta: Julia Salazar | Delegación Provincial de Medio Ambiente de Málaga | Persona de contacto-Director del CREMA: José Luis Mons | Aula del Mar de Málaga. Avda. Manuel Agustín de Heredia, 35Málaga | Tel.: 952 229 287 // 689 772 335"
Centro de Recuperación de Animales Silvetres del ZooBotánico Jerez,,Cádiz,tecnicos.zoo@aytojerez.es,956182397 / 956184207 / 956311586,"Persona de contacto: Miguel Ángel Quevedo | Taxdirt, s/n,11404 Jerez de la Frontera. Cádiz | Tel. 956182397 - 956184207 Fax: 956311586 | tecnicos.zoo@aytojerez.es"
Centro de Recuperación de Fauna Silvestre El Acebuche,,,ppereira@arrakis.es,959506170,Persona de contacto: Celia Sánchez Sánchez | Parque Nacional Doñana.21760 Matalascañas.Huelva | Tel y Fax 959506170 | ppereira@arrakis.es
"Centro de Cría, Educación y Recepción de Fauna de Salvaje Cañada de los Pájaros",,SEVILLA,,955772184,"Reserva Natural Concertada. | Centro de Adopción de Fauna Irecuperable (no rapaces) | Persona de contacto: Maribel Adrián Dossío | Ctra. Puebla del Río a Isla Mayor, Km. 8. Aptdo de Correos 2. 41130PUEBLA DEL RÍO. SEVILLA | Tel. y Fax. 955772184 | Aragón"
Centro de Recuperación de Fauna Silvestre La Alfranca,,,alauda99@teleline.es,976131577,Persona de contacto: José Manuel Sánchez | Finca de la Alfranca S/N | 50195 Pastriz.Zaragoza | Tel.976131577 | alauda99@teleline.es
"Centro de Recepción de Fauna Silvestre, El Planizar, Teruel",,,nferrerbergua@aragob.es,659 153 108 / 666 323 678 / 978 641 231 / 689570708 / 985470370,"Persona de contacto: Nicolás Ferrer-Bergua Leese | C/San Francisco, 27 | 44001Teruel | Tel. 659 153 108, 666 323 678 | Fax 978 641 231 | nferrerbergua@aragob.es/ideleonardo@arag | Asturias | CEPESMA (Coordinadora para el Estudio y Protección de las Especies Marinas) | Paseo del Muelle, nº 325. 33700Luarca | Tel. 689570708 / 985470370 | cepesma@cetaceos.com | auladelmar@cepesma.com"
Centro de Recepción de Fauna Salvaje de FAPAS,,,fapas@telefonica.net,985 40 12 64,Persona de contacto: Roberto Hartasanchez | La Pereda. 33509Llanes | Tel.: 985 40 12 64 | fapas@telefonica.net | Baleares
Centre de Recuperació de la Fauna Sivestre de GOB Menorca,http://www.gobmenorca.com/,,crecup@gobmenorca.com,971350762 / 971351865 / 619834597,"Persona de contacto:Frederic Bosch | Dirección: Camí d'Es Castell, 59. 07702Maó. Menorca(Illes Balears) | Tel. 971350762 Fax 971351865 | 619834597 | crecup@gobmenorca.com | http://www.gobmenorca.com/"
Centre de Recuperació de Fauna Salvatge de la Fundació Natura Parc,,,luisparpal@hotmail.com,971144532 / 971144532 / 971438695 / 971438864,"Persona de contacto : Lluís Parpal Ramis | Carretera de Sineu, Km 15'400. 07142Santa Eugenia. Mallorca | Tel. 971144532 Fax. 971144532 | luisparpal@hotmail.com | Centre Sanitari Municipal de Protecció Animal de Son Reus | Persona de contacto: Pedro Morell | Ctra, de Soller, km. 8,2. 07120Palma de Mallorca(Islas Baleares) | Tel. 971438695/ Fax. 971438864"
Centre de Recuperació de Fauna Marina de la Fundación Marineland,,,gfernandez@aspro-ocio.es,971675125 / 650965704 / 971675554,"C/ Garcilaso de la Vega, 8. 07181Calvià, Mallorca | Persona de contacto: Gloria Fernàndez | Tel. 971675125 / 650965704 | Fax 971675554 | gfernandez@aspro-ocio.es | Canarias"
"Centro de Recuperación de Fauna Silvestre ""La Tahonilla""",,,crfauna@cabtfe.es,922250002 / 922314869,"Persona de contacto: Carmen Méndez Corona | Dirección: Ctra. Gral La Esperanza, km. 0.4. 38291La Laguna. Sta. Cruz de Tenerife | Tel. 922250002 / Fax.922314869 | crfauna@cabtfe.es"
Centro de Recuperación de Fauna Silvestre de Tafira,,,PCALABUIG@telefonica.net,928351970 / 928353560,Persona de contacto: Pascual Calabuig Miranda | Dirección: Vivero Forestal de Tafira. Carretera del Centro Km 7. 35.017Las Palmas de Gran Canaria | Tel. 928351970 / Fax. 928353560 | PCALABUIG@telefonica.net | Cataluña
Centre de Fauna de Torreferrussa,,Barcelona,crf.torreferrussa.dmah@gencat.cat,935617017 / 935600052,"Departament d’Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural | Persona de contacto: Manel Pomarol | Ctra. de Santa Perpetua a Sabadell, km. 4.5. 08130Santa Perpetua de la Mogoda. Barcelona | Tel. 935617017/935600052 | crf.torreferrussa.dmah@gencat.cat | Director del Centro:manel.pomarol@gencat.cat"
Centre de Fauna de Vallcalent,,,cfvallcalent.dmah@gencat.cat,973282276 / 973283684,"Departament d’Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural | Persona de contacto: Xavier Marco | Partida de Vallcalent, nº 63. 25199Lleida | Tel. 973282276 / Fax: 973283684 | cfvallcalent.dmah@gencat.cat"
Centre de Fauna del Canal Vell,,,canalvell.dmah@gencat.cat,977267082 / 977482181 / 977481392,"Departament d’Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural | Persona de contacto: Francesc Vidal i Esquerrè | Pl. 20 de Maig, s/n. 43850 Deltebre.Tarragona | Tel. 977267082 Tel. 977482181 / Fax. 977481392 | canalvell.dmah@gencat.cat"
Centre de Fauna dels Aiguamolls de l'Empordà,,,rec.aiguamolls.dmah@gencat.cat,972454222 / 675 78 33 29 / 972454474,"Departament d’Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural | Persona de contacto: Berto Minobis | Mas el Cortalet. 17486 Castelló d'Empuries.Girona | Tel. 972454222, 675 78 33 29 / Fax. 972454474 | rec.aiguamolls.dmah@gencat.cat | Ceuta"
Centro de Recuperación de Fauna Silvestre de Ceuta,,,FJMartinez@ceuta.inf,956 520104 / 956 520103,"Persona de contacto: Fco. Javier Martínez Medina | OBIMASA | Consejería de Medio Ambiente, Ciudad de Ceuta | Carretera de Benzú - García Aldave, s/n. 51003,CEUTA | Tfno: 956 520104 Fax: 956 520103 | FJMartinez@ceuta.inf | Galicia"
Centro de Recuperación de Fauna Silvestre de A Coruña,,,crfsc@eresmas.com,981184539 / 981626241 / 679928280,Persona de contacto: Federico Sánchez Rodríguez | Rua Emilia Pardo Bazán s/n. | Consellería de Medio Ambiente | 15179Santa Cruz de Lians- Oleiros. A Coruña | Tel. Persona de contacto: 981184539 | Tel. Centro. 981626241/ 679928280 | crfsc@eresmas.com
Centro de Recuperación de Fauna Silvestre -Cotorredondo,,,esabrain@teleline.es,986680390 / 600333123,Persona de contacto: Pablo Sierra | Lago de Castiñeiras s/n. 36140Figueidido. Pontevedra | Tel. 986680390 / 600333123 | esabrain@teleline.es
Centro de Recuperación de Fauna do Rodicio,,,alfredoru@wanadoo.es,988302051 / 988386568,Persona de contacto: Alfredo Rua Rua | Centro de Recuperación da Fauna do Rodicio. Alto do Rodicio.Maceda. Ourense | Tel. 988302051 Oficinas: 988386568 | alfredoru@wanadoo.es
Centro de Recuperación de Fauna O Veral,,Murcia,raquel.ruiz.melendo@xunta.es,982207705 / 982207705 / 686 98 90 08,"Persona de contacto: Raquel Ruiz Melendo | Dirección Centro: Carretera de Friol s/n Lugo | Dirección Postal: Conselleria de Medio Ambiente- Servicio de Espacios Naturales y Biodiversidad | Ronda de la Muralla n º70. 27002Lugo | Tel. Centro. 982207705 | Tel. Persona de contacto.982207705 | raquel.ruiz.melendo@xunta.es | CEMMA ( Coordinadora para el Estudio de Mamíferos Marinos) | Persona de contacto: Alfredo López | Tomás Miranbel, 90. 36340Nigran (Pontevedra) | Tel. (unidad móvil): 686 98 90 08 | cemma@arrakis.es | Murcia"
"Centro de Recuperación de Fauna Silvestre ""El Valle"" de la Región de Murcia",http://www.carm.es/siga/esquema/indice.htm,Murcia,abayon@um.es,968844907,Persona de contacto: Alejandro Bayón del Río. | Parque Natural El Valle.La Alberca 35150 Murcia | Tel. 968844907 | abayon@um.es | http://www.carm.es/siga/esquema/indice.htm | Navarra
Centro de Recuperación de Fauna de Ilundain,,,ecastiea@cfnavarra.es,848426800 / 629461978,"Persona de contacto: Enrique Castién | Dirección General de Medio Ambiente, Ordenación del Territorio y Vivienda | C/Yanguas y Miranda, 27, 1º | 31003Pamplona | T. 848426800 | 629461978 Gloria Giralda ( veterinaria) | ecastiea@cfnavarra.es"
Centro de Recuperación de Fauna de GURELUR,www.gurelur.org,,gurelur@bme.es,948 15 10 77 / 606980068,"Persona de contactos: Antonio Munilla i Noelia López Labat | Manuel de Falla, 8 bajos. 31005PAMPLONA | Tel. Fax 948 15 10 77 / 606980068 | gurelur@bme.es/ www.gurelur.org | País Vasco"
Centro de Recuperación de Fauna Salvaje de Martioda,,,centromartioda@parques.alava.net,945181616 / 635749381 / 635749882,Persona de contacto: Laura Alorza Patricia Lizarraga | O1191 Martioda Alava/ Araba). 01001Vitoria/Gasteiz (Alava/Araba) | Tel y Fax 945181616   Móvil: 635749381 / 635749882 | centromartioda@parques.alava.net
Centro de Recuperación de Fauna Salvaje de Guipúzcoa Donostia/San Sebastián,,,,943210584,"Persona de contacto: Josean Albisu | Arrano-Etxea Camino Agiti, 2º Igueldo. 20008Donostia/San Sebastián Guipúzcoa | Tel.943210584"
Centro de Recuperación de Fauna Salvaje de Bizcaia,,Valencia,jose.ignacio.inchausti@bizkaia.net,946774852 / 944206825 / 656795370,Persona de contacto: José Ignacio Inchausti | Granja Foral de Gorliz; Camino Kukullus s/n. 48630Gorliz | Tel. 946774852; 944206825;656795370 | jose.ignacio.inchausti@bizkaia.net | Valencia
"Centro de Recuperación de Fauna ""La Granja"" de El Saler",,Valencia,centro.granja@cma.m400.gva.es,961610847 / 961610300,"Persona de contacto: Cati Gerique | Avda. de los Pinares, 106.46012El Saler. Valencia | Tel. 961610847 / Fax.961610300 | centro.granja@cma.m400.gva.es"
Centro de Recuperación Forn del Vidre,,,ib313622@public.ibercaja.es,610 591768,"Persona de contacto: Martín Surroca | Dirección. Ctra. La Senia-Fredes, s/n. 12599La Pobla de Benifassar. Castellón | Tel. 610 591768 | ib313622@public.ibercaja.es"
